OID_,ClipsFinal_DEM_Large_S3_RegA,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
117,-13,-4.973368331150471,17.560867607536480,-13.0614672,-0.0022314,0.0000000,-0.4766052,0.4504879,4.0000000,0.1404248,1.0027237,4.1947212,0.7605511,1.7809861
118,-13,-4.965911691150471,17.560867607536480,-13.0620232,-0.0013223,0.0000000,-0.6157150,0.5074288,4.0000000,0.2111812,1.0030998,4.5043387,0.8036764,2.2857678
119,-13,-4.958455051150471,17.560867607536480,-13.0626345,-0.0004132,0.0000000,-0.8116398,0.3939799,4.0000000,0.3045136,1.0035572,4.8110085,0.4834462,2.2750666
120,-13,-4.950998411150471,17.560867607536480,-13.0632830,0.0000000,0.0000000,-0.8392876,0.1598830,4.0000000,0.3715211,1.0038853,5.0515141,-0.0517552,1.8098379
121,-13,-4.943541771150471,17.560867607536480,-13.0639448,0.0000000,0.0000000,-0.6075330,-0.0605768,4.0000000,0.3196947,1.0039210,5.0940037,-0.4408484,1.2486343
122,-13,-4.936085131150471,17.560867607536480,-13.0645800,0.0000000,0.0000000,-0.2040175,-0.4048363,4.0000000,0.1055069,1.0038350,5.0737867,-0.9151796,1.0738744
123,-13,-4.928628491150471,17.560867607536480,-13.0652046,0.0000000,0.0000000,0.2861000,-0.8033304,4.0000000,-0.2101871,1.0034026,4.7837520,-1.3964738,2.0239604
124,-13,-4.921171851150471,17.560867607536480,-13.0657434,0.0000000,0.0000000,0.8524263,-1.2116147,4.0000000,-0.6399854,1.0025058,4.0772109,-1.7832441,4.1955056
125,-13,-4.913715211150471,17.560867607536480,-13.0661707,0.0000000,0.0000000,1.3081241,-1.4341956,4.0000000,-1.1530904,1.0015934,3.2290530,-1.7153009,5.6420627
126,-13,-4.906258571150471,17.560867607536480,-13.0664616,0.0000000,0.0000000,1.7406555,-1.6756837,5.0000000,-1.9513457,1.0008438,2.3299332,-1.4000218,7.7791100
127,-13,-4.898801931150471,17.560867607536480,-13.0666113,0.0000000,0.0000000,2.0321386,-1.8993093,5.0000000,-3.1284523,1.0003880,1.4531294,-0.6701661,10.3845863
128,-13,-4.891345291150471,17.560867607536480,-13.0665808,0.0000000,0.0000000,1.6355579,-1.8145717,5.0000000,-1.0133431,1.0003699,1.3967122,-2.6158004,9.9078817
129,-13,-4.883888651150471,17.560867607536480,-13.0663710,0.0000000,0.0000000,0.7142090,-1.4701068,4.0000000,-0.3799309,1.0007001,2.1356728,-2.5602827,7.2275968
